No,Nama_Bahan,Porsi_g,Kalori_kal,Karbohidrat_g,Protein_g,Lemak_g,Serat_g
1,Nasi,100,180.0,39.8,3.0,0.3,0.2
2,Nasi tim,100,120.0,26.0,2.4,0.4,0.5
3,Tapai beras,100,99.0,22.4,1.7,0.3,
4,"Tepung beras, mentah",100,353.0,80.0,7.0,0.5,2.4
5,Nasi beras merah,100,149.0,32.5,2.8,0.4,0.3
6,"Bihun, mentah",100,348.0,82.1,4.7,0.1,1.2
7,Bihun goreng instan,100,381.0,80.3,6.1,3.9,
8,"Bihun Jagung, mentah",100,354.0,87.4,0.5,0.3,3.0
9,Nasi jagung,100,357.0,79.5,8.8,0.5,6.2
10,"Jagung muda, rebus",100,142.0,30.3,5.0,0.7,0.8
11,"Jagung kuning, tepung",100,355.0,73.7,9.2,3.9,7.2
12,"Jagung kuning pipil, rebus",100,154.0,28.4,3.8,3.5,0.7
13,Tepung jagung putih,100,355.0,73.7,9.2,3.9,7.2
14,Ketupat ketan,100,212.0,38.6,4.0,4.6,0.2
15,"Ketan hitam, matang",100,181.0,37.3,4.0,1.2,0.3
16,Tapai ketan hitam,100,166.0,34.4,3.8,1.0,0.3
17,"Ketan putih, matang",100,163.0,35.7,3.0,0.4,0.2
18,Tapai ketan putih,100,172.0,37.5,3.0,0.5,0.6
19,"Maizena, tepung",100,341.0,85.0,0.3,,7.0
20,"Makaroni, mentah",100,353.0,78.7,8.7,0.4,4.9
21,Mi basah,100,88.0,14.0,0.6,3.3,0.1
22,Mi kering,100,339.0,6.3,10.0,1.7,0.4
23,Misoa,100,345.0,78.0,8.5,2.2,0.5
24,Roti putih,100,248.0,50.0,8.0,1.2,9.1
25,Tepung terigu,100,333.0,77.2,9.0,1.0,0.3
26,Amparan tatak,100,191.0,34.0,1.3,5.5,
27,"Apang kukus, kue",100,202.0,46.7,3.0,0.3,
28,"Apem, kue",100,148.0,33.9,2.0,0.5,
29,Biskuit,100,458.0,75.1,6.9,14.4,2.1
30,"Bakpia, kue",100,272.0,44.1,8.7,6.7,0.9
31,Bakwan,100,280.0,39.0,8.2,10.2,3.4
32,Bantal,100,190.0,43.5,3.3,0.3,3.4
33,Baruasa,100,417.0,79.3,6.5,8.2,
34,Batar daan,100,107.0,19.6,2.2,2.2,
35,Bika ambon,100,199.0,44.4,2.1,1.5,0.3
36,Bingka,100,273.0,39.1,5.3,10.6,
37,Bobengka,100,225.0,45.2,5.3,2.6,
38,Bolu peca,100,197.0,35.6,3.3,4.6,
39,Brem,100,249.0,58.0,3.4,0.4,
40,Bubur tinotuan (Manado),100,156.0,15.6,2.3,0.2,8.2
41,Cake tape,100,323.0,50.1,4.9,11.5,1.4
42,Cangkuning,100,204.0,31.4,2.8,7.5,
43,Dodol bali,100,298.0,65.9,3.7,2.1,0.4
44,Dodol galamai,100,348.0,76.1,0.4,3.8,0.5
45,Dodol kedondong,100,331.0,63.8,1.9,7.6,1.0
46,Dodol manado,100,373.0,51.9,4.3,16.5,0.4
47,Emping beras,100,403.0,85.3,10.6,2.2,0.2
